u, v
-5.        , -0.34407764
-4.9529697 , -0.3470316 
-4.90593939, -0.35004064
-4.85890909, -0.35310643
-4.81187879, -0.3562307 
-4.76484848, -0.35941525
-4.71781818, -0.36266196
-4.67078788, -0.3659728 
-4.62375758, -0.36934981
-4.57672727, -0.37279513
-4.52969697, -0.37631099
-4.48266667, -0.37989973
-4.43563636, -0.38356377
-4.38860606, -0.38730566
-4.34157576, -0.39112808
-4.29454545, -0.3950338 
-4.24751515, -0.39902574
-4.20048485, -0.40310697
-4.15345455, -0.40728068
-4.10642424, -0.41155024
-4.05939394, -0.41591916
-4.01236364, -0.42039115
-3.96533333, -0.42497008
-3.91830303, -0.42966003
-3.87127273, -0.43446529
-3.82424242, -0.43939036
-3.77721212, -0.44443997
-3.73018182, -0.44961912
-3.68315152, -0.45493307
-3.63612121, -0.46038734
-3.58909091, -0.46598778
-3.54206061, -0.47174054
-3.4950303 , -0.47765212
-3.448     , -0.48372939
-3.4009697 , -0.4899796 
-3.35393939, -0.49641042
-3.30690909, -0.50302998
-3.25987879, -0.50984687
-3.21284848, -0.51687019
-3.16581818, -0.52410961
-3.11878788, -0.53157538
-3.07175758, -0.53927837
-3.02472727, -0.54723015
-2.97769697, -0.55544302
-2.93066667, -0.56393006
-2.88363636, -0.57270522
-2.83660606, -0.58178336
-2.78957576, -0.59118035
-2.74254545, -0.60091312
-2.69551515, -0.61099978
-2.64848485, -0.62145972
-2.60145455, -0.63231369
-2.55442424, -0.64358396
-2.50739394, -0.65529443
-2.46036364, -0.6674708 
-2.41333333, -0.68014072
-2.36630303, -0.69333398
-2.31927273, -0.70708273
-2.27224242, -0.72142171
-2.22521212, -0.73638852
-2.17818182, -0.7520239 
-2.13115152, -0.76837211
-2.08412121, -0.78548125
-2.03709091, -0.80340374
-1.99006061, -0.82219684
-1.9430303 , -0.84192315
-1.896     , -0.86265132
-1.8489697 , -0.88445682
-1.80193939, -0.90742277
-1.75490909, -0.931641  
-1.70787879, -0.95721325
-1.66084848, -0.98425255
-1.61381818, -1.01288492
-1.56678788, -1.04325133
-1.51975758, -1.07551005
-1.47272727, -1.10983949
-1.42569697, -1.14644167
-1.37866667, -1.18554629
-1.33163636, -1.22741596
-1.28460606, -1.27235239
-1.23757576, -1.32070431
-1.19054545, -1.3728773 
-1.14351515, -1.42934623
-1.09648485, -1.49067119
-1.04945455, -1.55751808
-1.00242424, -1.63068549
-0.95539394, -1.71114016
-0.90836364, -1.80006451
-0.86133333, -1.89892105
-0.81430303, -2.00954106
-0.76727273, -2.13424845
-0.72024242, -2.27603571
-0.67321212, -2.43881818
-0.62618182, -2.6278081 
-0.57915152, -2.85007554
-0.53212121, -3.11540615
-0.48509091, -3.43764139
-0.43806061, -3.8368258 
-0.3910303 , -4.34276624
-0.344     , -5.0012478 

