t f
0 102.856167821667
1 105.790169896667
2 108.827679586598
3 109.393632566062
4 107.379880725104
5 107.954260330995
6 104.920351532472
7 103.372193056951
8 101.750280884622
9 98.1080724496565
10 95.1507032301591
11 93.2992036695128
12 90.4413448994983
13 86.2548228465268
14 84.9739833559401
15 82.9242131591184
16 81.7008377511473
17 79.3977519651693
18 76.970917400053
19 77.4143290100177
20 74.9197320808514
21 71.0291976162472
22 68.5104562559131
23 67.062226954849
24 66.0166841734302
25 63.5292459557935
26 62.5159245627545
27 61.6339491438588
28 61.1095392614482
29 62.44784527705
30 62.360195194248
31 62.4271017702229
32 60.6653667319055
33 60.61985634374
34 62.8336565938671
35 65.2144680301449
36 68.1636376425903
37 72.9954495343781
38 75.1172440213651
39 78.7478232947561
40 79.0337286012144
41 83.191926365741
42 86.8581537202065
43 91.8909938059792
44 97.06255418943
45 99.9079985193226
46 101.731379359302
47 103.365431077228
48 104.794154354668
49 104.320389099381
