t r
0 90.4714351637325
1 81.564990606312
2 70.3265270461627
3 61.0493625192552
4 52.0927462399531
5 46.1113160712077
6 40.6196015310234
7 35.2242504189051
8 31.51336392509
9 29.4073995322693
10 26.5421966012084
11 24.7249532587716
12 24.3989938674137
13 23.8007564016841
14 22.8733002869757
15 21.9066029841615
16 22.6338836734649
17 23.3051181461152
18 23.5000084079084
19 24.6976004537395
20 25.0930993866538
21 25.766639662368
22 27.1701690246389
23 28.5942384190917
24 31.1993812368155
25 34.2217440388866
26 35.6380604025273
27 38.2053106359149
28 42.0677343586835
29 46.6068670860588
30 49.7228854635238
31 54.4163642885165
32 60.2314311794549
33 68.0847979656299
34 74.8941471793143
35 80.5370052154989
36 87.1951457678118
37 91.4292581598564
38 94.8583249658027
39 97.8061546783622
40 98.8828999460016
41 100.681744151706
42 99.2394301261051
43 96.6038025273049
44 91.1310622887005
45 83.4362611585028
46 74.1031657818145
47 66.8679396717129
48 58.7111824790798
49 50.3637230919427
