x, p, q_kl_pq, q_kl_qp, q_renyi
-8.000000000000000000e+00,4.056340826194704178e-06,3.763244644936851544e-03,2.911178612634470129e-05,1.272918830151452841e-03
-7.959899749373433586e+00,4.447360906639960747e-06,3.899880178711753395e-03,3.145124837108939577e-05,1.333634540412693536e-03
-7.919799498746867172e+00,4.874114421000607492e-06,4.040752423706931405e-03,3.396706642255295917e-05,1.396926897580977800e-03
-7.879699248120300759e+00,5.339670721048618716e-06,4.185963018304567941e-03,3.667155354671560770e-05,1.462888565183953970e-03
-7.839598997493734345e+00,5.847343984776154290e-06,4.335614888637557424e-03,3.957780395363884091e-05,1.531614719728890354e-03
-7.799498746867167931e+00,6.400711019728960607e-06,4.489812219771476334e-03,4.269973631297514251e-05,1.603203080301653007e-03
-7.759398496240601517e+00,7.003630210168170194e-06,4.648660424705637617e-03,4.605213925751479987e-05,1.677753936586257044e-03
-7.719298245614035103e+00,7.660261668968107440e-06,4.812266111149249466e-03,4.965071893506830500e-05,1.755370175191382038e-03
-7.679197994987468689e+00,8.375088657387052036e-06,4.980737046029805673e-03,5.351214866865438506e-05,1.836157304167872033e-03
-7.639097744360902276e+00,9.152940338076068287e-06,5.154182117692421121e-03,5.765412078442003685e-05,1.920223475598676092e-03
-7.598997493734335862e+00,9.999015928908047771e-06,5.332711295750174746e-03,6.209540066598017837e-05,2.007679506140359286e-03
-7.558897243107769448e+00,1.091891032740817719e-05,5.516435588547057532e-03,6.685588309288078613e-05,2.098638895393160116e-03
-7.518796992481203034e+00,1.191864127773521891e-05,5.705466998197049507e-03,7.195665091969481307e-05,2.193217841974384654e-03
-7.478696741854636620e+00,1.300467815429239867e-05,5.899918473164510700e-03,7.742003615077229072e-05,2.291535257168042863e-03
-7.438596491228070207e+00,1.418397243812188489e-05,6.099903858352935873e-03,8.326968346394953053e-05,2.393712776021739586e-03
-7.398496240601503793e+00,1.546398996424833407e-05,6.305537842671413498e-03,8.953061623448541496e-05,2.499874765760299808e-03
-7.358395989974937379e+00,1.685274502006977674e-05,6.516935904050130506e-03,9.622930510818596594e-05,2.610148331384025324e-03
-7.318295739348370965e+00,1.835883637673467754e-05,6.734214251878453510e-03,1.033937391700281007e-04,2.724663318318205126e-03
-7.278195488721804551e+00,1.999148533717382684e-05,6.957489766841802592e-03,1.110534997516393721e-04,2.843552311979428461e-03
-7.238095238095238138e+00,2.176057588606417255e-05,7.186879938135743752e-03,1.192398369176651222e-04,2.966950634123321009e-03
-7.197994987468671724e+00,2.367669702846489621e-05,7.422502798038578889e-03,1.279857486673922158e-04,3.094996335837597781e-03
-7.157894736842105310e+00,2.575118740517279894e-05,7.664476853826261357e-03,1.373260628839309788e-04,3.227830187043928198e-03
-7.117794486215538896e+00,2.799618227396721517e-05,7.912921017016497430e-03,1.472975220588303928e-04,3.365595662371810917e-03
-7.077694235588972482e+00,3.042466294684097698e-05,8.167954529931818752e-03,1.579388708151314752e-04,3.508438923267662417e-03
-7.037593984962406068e+00,3.305050877401937803e-05,8.429696889574284438e-03,1.692909462466167612e-04,3.656508796202686835e-03
-6.997493734335839655e+00,3.588855176603178269e-05,8.698267768808087483e-03,1.813967710852752572e-04,3.809956746843465303e-03
